Symbol,Name,Year,EPS,BPS
A030200,KT,2002,6305,39158
A030200,KT,2003,2844,37828
A030200,KT,2004,4408,40053
A030200,KT,2005,3622,41741
A030200,KT,2006,4372,44258
A030200,KT,2007,3523,46095
A030200,KT,2008,1639,46271
A030200,KT,2009,1951,43485
A030200,KT,2010,4783,46134
A030200,KT,2011,5540,48477
A030200,KT,2012,4006,50707
A030200,KT,2013,-622,48552
A030200,KT,2014,-4040,42921
A030200,KT,2015,2118,44851
A030200,KT,2016,2723,47113
A030200,KT,2017,,
A004020,현대제철,2001,278,14223
A004020,현대제철,2002,1274,16122
A004020,현대제철,2003,2068,25118
A004020,현대제철,2004,4983,32064
A004020,현대제철,2005,11247,36280
A004020,현대제철,2006,5551,41195
A004020,현대제철,2007,6092,47631
A004020,현대제철,2008,9641,56777
A004020,현대제철,2009,13503,77608
A004020,현대제철,2010,10621,98874
A004020,현대제철,2011,8757,107087
A004020,현대제철,2012,9335,115433
A004020,현대제철,2013,8102,113276
A004020,현대제철,2014,6562,117001
A004020,현대제철,2015,5866,115590
A004020,현대제철,2016,6136,121394
A004020,현대제철,2017,,
A018880,한온시스템,2001,6736,29636
A018880,한온시스템,2002,7617,36076
A018880,한온시스템,2003,8293,43663
A018880,한온시스템,2004,1068,5093
A018880,한온시스템,2005,867,5584
A018880,한온시스템,2006,778,6138
A018880,한온시스템,2007,940,6961
A018880,한온시스템,2008,884,8274
A018880,한온시스템,2009,1418,9093
A018880,한온시스템,2010,1421,9963
A018880,한온시스템,2011,2091,11704
A018880,한온시스템,2012,2169,13082
A018880,한온시스템,2013,2776,13995
A018880,한온시스템,2014,2579,15160
A018880,한온시스템,2015,2159,16342
A018880,한온시스템,2016,547,3424
A018880,한온시스템,2017,,
A161390,한국타이어,2001,,
A161390,한국타이어,2002,,
A161390,한국타이어,2003,,
A161390,한국타이어,2004,,
A161390,한국타이어,2005,,
A161390,한국타이어,2006,,
A161390,한국타이어,2007,,
A161390,한국타이어,2008,,
A161390,한국타이어,2009,,
A161390,한국타이어,2010,,
A161390,한국타이어,2011,,
A161390,한국타이어,2012,1869,25939
A161390,한국타이어,2013,5957,31634
A161390,한국타이어,2014,5654,36424
A161390,한국타이어,2015,5291,41457
A161390,한국타이어,2016,7046,48036
A161390,한국타이어,2017,,
A023530,롯데쇼핑,2001,11100,100806
A023530,롯데쇼핑,2002,12550,113194
