,Trend
2015-07-12,85
2015-07-13,79
2015-07-14,73
2015-07-15,72
2015-07-16,73
2015-07-17,65
2015-07-18,65
2015-07-19,70
2015-07-20,67
2015-07-21,65
2015-07-22,64
2015-07-23,64
2015-07-24,66
2015-07-25,66
2015-07-26,69
2015-07-27,70
2015-07-28,66
2015-07-29,67
2015-07-30,61
2015-07-31,61
2015-08-01,100
2015-08-02,82
2015-08-03,73
2015-08-04,71
2015-08-05,68
2015-08-06,65
2015-08-07,61
2015-08-08,66
2015-08-09,61
2015-08-10,66
2015-08-11,61
2015-08-12,63
2015-08-13,67
2015-08-14,56
2015-08-15,59
2015-08-16,64
2015-08-17,61
2015-08-18,74
2015-08-19,88
2015-08-20,78
2015-08-21,75
2015-08-22,68
2015-08-23,72
2015-08-24,85
2015-08-25,85
2015-08-26,74
2015-08-27,67
2015-08-28,66
2015-08-29,63
2015-08-30,66
2015-08-31,62
2015-09-01,66
2015-09-02,64
2015-09-03,60
2015-09-04,56
2015-09-05,57
2015-09-06,59
2015-09-07,57
2015-09-08,63
2015-09-09,62
2015-09-10,62
2015-09-11,62
2015-09-12,58
2015-09-13,56
2015-09-14,59
2015-09-15,62
2015-09-16,62
2015-09-17,64
2015-09-18,69
2015-09-19,64
2015-09-20,56
2015-09-21,60
2015-09-22,69
2015-09-23,64
2015-09-24,60
2015-09-25,60
2015-09-26,61
2015-09-27,58
2015-09-28,61
2015-09-29,63
2015-09-30,62
2015-10-01,26
2015-10-02,27
2015-10-03,26
2015-10-04,28
2015-10-05,29
2015-10-06,31
2015-10-07,29
2015-10-08,31
2015-10-09,29
2015-10-10,28
2015-10-11,27
2015-10-12,28
2015-10-13,29
2015-10-14,29
2015-10-15,28
2015-10-16,30
2015-10-17,32
2015-10-18,31
2015-10-19,29
2015-10-20,32
2015-10-21,32
2015-10-22,34
2015-10-23,34
2015-10-24,32
2015-10-25,34
2015-10-26,33
2015-10-27,36
2015-10-28,36
2015-10-29,41
2015-10-30,44
2015-10-31,36
2015-11-01,42
2015-11-02,46
2015-11-03,67
2015-11-04,88
2015-11-05,74
2015-11-06,55
2015-11-07,46
2015-11-08,42
2015-11-09,46
2015-11-10,45
2015-11-11,47
2015-11-12,41
2015-11-13,38
2015-11-14,32
2015-11-15,34
2015-11-16,38
2015-11-17,37
2015-11-18,38
2015-11-19,39
2015-11-20,39
2015-11-21,36
2015-11-22,35
2015-11-23,38
2015-11-24,37
2015-11-25,35
2015-11-26,39
2015-11-27,35
2015-11-28,34
2015-11-29,34
2015-11-30,39
2015-12-01,38
2015-12-02,35
2015-12-03,35
2015-12-04,34
2015-12-05,34
2015-12-06,37
2015-12-07,39
2015-12-08,47
2015-12-09,100
2015-12-10,64
2015-12-11,52
2015-12-12,48
2015-12-13,44
2015-12-14,43
2015-12-15,47
2015-12-16,46
2015-12-17,42
2015-12-18,41
2015-12-19,38
2015-12-20,38
2015-12-21,39
2015-12-22,38
2015-12-23,40
2015-12-24,41
2015-12-25,37
2015-12-26,41
2015-12-27,40
2015-12-28,41
2015-12-29,40
2015-12-30,39
2015-12-31,35
2016-01-01,60
2016-01-02,64
2016-01-03,66
2016-01-04,69
2016-01-05,69
2016-01-06,67
2016-01-07,78
2016-01-08,76
2016-01-09,69
2016-01-10,64
2016-01-11,67
2016-01-12,65
2016-01-13,68
2016-01-14,67
2016-01-15,98
2016-01-16,100
2016-01-17,81
2016-01-18,84
2016-01-19,76
2016-01-20,84
2016-01-21,80
2016-01-22,74
2016-01-23,65
2016-01-24,66
2016-01-25,69
2016-01-26,68
2016-01-27,67
2016-01-28,68
2016-01-29,64
2016-01-30,61
2016-01-31,59
2016-02-01,63
2016-02-02,65
2016-02-03,63
2016-02-04,66
2016-02-05,58
2016-02-06,59
2016-02-07,60
2016-02-08,60
2016-02-09,64
2016-02-10,66
2016-02-11,65
2016-02-12,65
2016-02-13,60
